,diagnosis_type,diagnosis_code
1510, Other,75.8
1511, Unspecified,75.9
1512,"Disorders of fluid, electrolyte, and acid-base balance",76
1513, Hyperosmolality and/or hypernatremia,76.0
1514, Hyposmolality and/or hyponatremia,76.1
1515, Acidosis,76.2
1516, Alkalosis,76.3
1517, Mixed acid-base balance disorder,76.4
1518, Volume depletion,76.5
1519, Fluid overload,76.6
1520, Hyperpotassemia,76.7
1521, Hypopotassemia,76.8
1522," Electrolyte and fluid disorders, not elsewhere classified",76.9
1523,Other and unspecified disorders of metabolism,77
1524, Cystic fibrosis,77.0
1525, Disorders of porphyrin metabolism,77.1
1526, Other disorders of purine and pyrimidine metabolism,77.2
1527, Amyloidosis,77.3
1528, Disorders of bilirubin excretion,77.4
1529, Mucopolysaccharidosis,77.5
1530, Other deficiencies of circulating enzymes,77.6
1531, Other,77.8
1532, Unspecified,77.9
1533,Obesity and other hyperalimentation,78
1534, Obesity,78.0
1535, Localized adiposity,78.1
1536, Hypervitaminosis A,78.2
1537, Hypercarotinemia,78.3
1538, Hypervitaminosis D,78.4
1539, Other,78.8
1540,Disorders involving the immune mechanism,79
1541, Deficiency of humoral immunity,79.0
1542, Deficiency of cell-mediated immunity,79.1
1543, Combined immunity deficiency,79.2
1544, Unspecified immunity deficiency,79.3
1545," Autoimmune disease, not elsewhere classified",79.4
1546, Other,79.8
1547, Unspecified,79.9
1548,Iron deficiency anemias,80
1549,Other deficiency anemias,81
1550, Pernicious anemia,81.0
1551, Other vitamin-B12-deficiency anemia,81.1
1552, Folate-deficiency anemia,81.2
1553," Other specified megaloblastic anemias, not elsewhere classified",81.3
1554, Protein-deficiency anemia,81.4
1555, Anemia associated with other specified nutritional deficiency,81.8
1556, Unspecified,81.9
1557,Hereditary hemolytic anemias,82
1558, Hereditary spherocytosis,82.0
1559, Hereditary elliptocytosis,82.1
1560, Anemia due to disorders of glutathione metabolism,82.2
1561, Other hemolytic anemias due to enzyme deficiency,82.3
1562, Thalassemias,82.4
1563, Sickle-cell trait,82.5
1564, Sickle-cell anemia,82.6
1565, Other hemoglobinopathies,82.7
1566, Other,82.8
1567, Unspecified,82.9
1568,Acquired hemolytic anemias,83
1569, Autoimmune hemolytic anemias,83.0
1570, Non-autoimmune hemolytic anemias,83.1
1571, Hemoglobinuria due to hemolysis from external causes,83.2
1572, Unspecified,83.9
1573,Aplastic anemia,84
1574, Constitutional aplastic anemia,84.0
1575, Other,84.8
1576, Unspecified,84.9
1577,Other and unspecified anemias,85
1578, Sideroblastic anemia,85.0
1579, Acute posthemorrhagic anemia,85.1
1580, Other specified anemias,85.8
1581," Anemia, unspecified",85.9
1582,Coagulation defects,86
1583, Congenital factor VIII disorder,86.0
1584, Congenital factor IX disorder,86.1
1585, Congenital factor XI deficiency,86.2
1586, Congenital deficiency of other clotting factors,86.3
1587, von Willebrand's disease,86.4
1588, Hemorrhagic disorder due to circulating anticoagulants,86.5
1589, Defibrination syndrome,86.6
1590, Acquired coagulation factor deficiency,86.7
1591, Other and unspecified coagulation defects,86.9
1592,Purpura and other hemorrhagic conditions,87
1593, Allergic purpura,87.0
1594, Qualitative platelet defects,87.1
1595, Other nonthrombocytopenic purpuras,87.2
1596, Primary thrombocytopenia,87.3
1597, Secondary thrombocytopenia,87.4
1598," Thrombocytopenia, unspecified",87.5
1599, Other specified hemorrhagic conditions,87.8
1600, Unspecified hemorrhagic conditions,87.9
1601,Diseases of white blood cells,88
1602, Agranulocytosis,88.0
1603, Functional disorders of neutrophil polymorphonuclears,88.1
1604, Genetic anomalies of leucocytes,88.2
1605, Eosinophilia,88.3
1606, Other,88.8
1607, Unspecified,88.9
1608,Other diseases of blood and blood-forming organs,89
1609, Secondary polycythemia,89.0
1610, Chronic lymphadenitis,89.1
1611, Nonspecific mesenteric lymphadenitis,89.2
1612," Lymphadenitis, unspecified, except mesenteric",89.3
1613, Hypersplenism,89.4
1614, Other diseases of spleen,89.5
1615, Familial polycythemia,89.6
1616, Methemoglobinemia,89.7
1617, Other,89.8
1618, Unspecified,89.9
1619,Senile and presenile organic psychotic conditions,90
1620," Senile dementia, simple type",90.0
1621, Presenile dementia,90.1
1622," Senile dementia, depressed or paranoid type",90.2
1623, Senile dementia with acute confusional state,90.3
1624, Arteriosclerotic dementia,90.4
1625, Other,90.8
1626, Unspecified,90.9
1627,Alcoholic psychoses,91
1628, Delirium tremens,91.0
1629," Korsakov's psychosis, alcoholic",91.1
1630, Other alcoholic dementia,91.2
1631, Other alcoholic hallucinosis,91.3
1632, Pathological drunkenness,91.4
1633, Alcoholic jealousy,91.5
1634, Other,91.8
1635, Unspecified,91.9
1636,Drug psychoses,92
1637, Drug withdrawal syndrome,92.0
1638, Paranoid and/or hallucinatory states induced by drugs,92.1
1639, Pathological drug intoxication,92.2
1640, Other,92.8
1641, Unspecified,92.9
1642,Transient organic psychotic conditions,93
1643, Acute confusional state,93.0
1644, Subacute confusional state,93.1
1645, Other,93.8
1646, Unspecified,93.9
1647,Other organic psychotic conditions -chronic,94
1648, Korsakov's psychosis or syndrome -nonalcoholic,94.0
1649, Other,94.8
1650, Unspecified,94.9
1651,Schizophrenic psychoses,95
1652, Simple type,95.0
1653, Hebephrenic type,95.1
1654, Catatonic type,95.2
1655, Paranoid type,95.3
1656, Acute schizophrenic episode,95.4
1657, Latent schizophrenia,95.5
1658, Residual schizophrenia,95.6
1659, Schizoaffective type,95.7
1660, Other,95.8
1661, Unspecified,95.9
1662,Affective psychoses,96
1663," Manic-depressive psychosis, manic type",96.0
1664," Manic-depressive psychosis, depressed type",96.1
1665," Manic-depressive psychosis, circular type but currently manic",96.2
1666," Manic-depressive psychosis, circular type but currently depressed",96.3
1667," Manic-depressive psychosis, circular type, mixed",96.4
1668," Manic-depressive psychosis, circular type, current condition not specified",96.5
1669," Manic-depressive psychosis, other and unspecified",96.6
1670, Other,96.8
1671, Unspecified,96.9
1672,Paranoid states,97
1673," Paranoid state, simple",97.0
1674, Paranoia,97.1
1675, Paraphrenia,97.2
1676, Induced psychosis,97.3
1677, Other,97.8
1678, Unspecified,97.9
1679,Other nonorganic psychoses,98
1680, Depressive type,98.0
1681, Excitative type,98.1
1682, Reactive confusion,98.2
1683, Acute paranoid reaction,98.3
1684, Psychogenic paranoid psychosis,98.4
1685, Other and unspecified reactive psychosis,98.8
1686, Unspecified psychosis,98.9
1687,Psychoses with origin specific to childhood,99
1688, Infantile autism,99.0
1689, Disintegrative psychosis,99.1
1690, Other,99.8
1691, Unspecified,99.9
1692,Neurotic disorders,00
1693, Anxiety states,00.0
1694, Hysteria,00.1
1695, Phobic state,00.2
1696, Obsessive-compulsive disorders,00.3
1697, Neurotic depression,00.4
1698, Neurasthenia,00.5
1699, Depersonalization syndrome,00.6
1700, Hypochondriasis,00.7
1701, Other neurotic disorders,00.8
1702, Unspecified,00.9
1703,Personality disorders,01
1704, Paranoid personality disorder,01.0
1705, Affective personality disorder,01.1
1706, Schizoid personality disorder,01.2
1707, Explosive personality disorder,01.3
1708, Anankastic personality disorder,01.4
1709, Hysterical personality disorder,01.5
1710, Asthenic personality disorder,01.6
1711, Personality disorder with predominantly sociopathic or asocial manifestation,01.7
1712, Other personality disorders,01.8
1713, Unspecified,01.9
1714,Sexual deviations and disorders,02
1715, Homosexuality,02.0
1716, Bestiality,02.1
1717, Pedophilia,02.2
1718, Transvestism,02.3
1719, Exhibitionism,02.4
1720, Trans-sexualism,02.5
1721, Disorders of psychosexual identity,02.6
1722, Frigidity and impotence,02.7
1723, Other,02.8
1724, Unspecified,02.9
1725,Alcohol dependence syndrome,03
1726,Drug dependence,04
1727, Morphine type,04.0
1728, Barbiturate type,04.1
1729, Cocaine,04.2
1730, Cannabis,04.3
1731, Amphetamine type and other psychostimulants,04.4
1732, Hallucinogens,04.5
1733, Other,04.6
1734, Combinations of morphine type drug with any other,04.7
1735, Combinations excluding morphine type drug,04.8
1736, Unspecified,04.9
1737,Nondependent abuse of drugs,05
1738, Alcohol,05.0
1739, Tobacco,05.1
1740, Cannabis,05.2
1741, Hallucinogens,05.3
1742, Barbiturates and tranquillizers,05.4
1743, Morphine type,05.5
1744, Cocaine type,05.6
1745, Amphetamine type,05.7
1746, Antidepressants,05.8
1747," Other, mixed or unspecified",05.9
1748,Physiological malfunction arising from mental factors,06
1749, Musculoskeletal,06.0
1750, Respiratory,06.1
1751, Cardiovascular,06.2
1752, Skin,06.3
1753, Gastrointestinal,06.4
1754, Genitourinary,06.5
1755, Endocrine,06.6
1756, Organs of special sense,06.7
1757, Other,06.8
1758, Unspecified,06.9
1759,Special symptoms or syndromes not elsewhere classified,07
1760, Stammering and stuttering,07.0
1761, Anorexia nervosa,07.1
1762, Tics,07.2
1763, Stereotyped repetitive movements,07.3
1764, Specific disorders of sleep,07.4
1765, Other and unspecified disorders of eating,07.5
1766, Enuresis,07.6
1767, Encopresis,07.7
1768, Psychalgia,07.8
1769, Other and unspecified,07.9
1770,Acute reaction to stress,08
1771, Predominant disturbance of emotions,08.0
1772, Predominant disturbance of consciousness,08.1
1773, Predominant psychomotor disturbance,08.2
1774, Other,08.3
1775, Mixed,08.4
1776, Unspecified,08.9
1777,Adjustment reaction,09
1778, Brief depressive reaction,09.0
1779, Prolonged depressive reaction,09.1
1780, With predominant disturbance of other emotions,09.2
1781, With predominant disturbance of conduct,09.3
1782, With mixed disturbance of emotions and conduct,09.4
1783, Other,09.8
1784, Unspecified,09.9
1785,Specific nonpsychotic mental disorders following organic brain damage,10
1786, Frontal lobe syndrome,10.0
1787, Cognitive or personality change of other type,10.1
1788, Postconcussional syndrome,10.2
1789, Other,10.8
1790, Unspecified,10.9
1791,"Depressive disorder, not elsewhere classified",11
1792,Disturbance of conduct not elsewhere classified,12
1793, Unsocialized disturbance of conduct,12.0
1794, Socialized disturbance of conduct,12.1
1795, Compulsive conduct disorder,12.2
1796, Mixed disturbance of conduct and emotions,12.3
1797, Other,12.8
1798, Unspecified,12.9
1799,Disturbance of emotions specific to childhood and adolescence,13
1800, With anxiety and fearfulness,13.0
1801, With misery and unhappiness,13.1
1802," With sensitivity, shyness, and social withdrawal",13.2
1803, Relationship problems,13.3
1804, Other or mixed,13.8
1805, Unspecified,13.9
1806,Hyperkinetic syndrome of childhood,14
1807, Simple disturbance of activity and attention,14.0
1808, Hyperkinesis with developmental delay,14.1
1809, Hyperkinetic conduct disorder,14.2
1810, Other,14.8
1811, Unspecified,14.9
1812,Specific delays in development,15
1813, Specific reading retardation,15.0
1814, Specific arithmetical retardation,15.1
1815, Other specific learning difficulties,15.2
1816, Developmental speech or language disorder,15.3
1817, Specific motor retardation,15.4
1818, Mixed development disorder,15.5
1819, Other,15.8
1820, Unspecified,15.9
1821,Psychic factors associated with diseases classified elsewhere,16
1822,Mild mental retardation,17
1823,Other specified mental retardation,18
1824, Moderate mental retardation,18.0
1825, Severe mental retardation,18.1
1826, Profound mental retardation,18.2
1827,Unspecified mental retardation,19
1828,Bacterial meningitis,20
1829, Hemophilus meningitis,20.0
1830, Pneumococcal meningitis,20.1
1831, Streptococcal meningitis,20.2
1832, Staphylococcal meningitis,20.3
1833, Meningitis due to other specified bacteria,20.8
1834, Meningitis due to unspecified bacterium,20.9
1835,Meningitis of unspecified cause,22
1836, Nonpyogenic meningitis,22.0
1837, Eosinophilic meningitis,22.1
1838, Chronic meningitis,22.2
1839," Meningitis, unspecified",22.9
1840,"Encephalitis, myelitis, and encephalomyelitis",23
1841, Encephalitis following immunization procedures,23.5
1842, Other,23.8
1843, Unspecified cause,23.9
1844,Intracranial and intraspinal abscess,24
1845, Intracranial abscess,24.0
1846, Intraspinal abscess,24.1
1847, Of unspecified site,24.9
1848,Phlebitis and thrombophlebitis of intracranial venous sinuses,25
1849,Late effects of intracranial abscess or pyogenic infection,26
1850,Cerebral degenerations usually manifest in childhood,30
1851, Leucodystrophy,30.0
1852, Cerebral lipidoses,30.1
1853, Other cerebral degenerations in childhood,30.8
1854, Unspecified,30.9
1855,Other cerebral degenerations,31
1856, Alzheimer's disease,31.0
1857, Pick's disease,31.1
1858, Senile degeneration of brain,31.2
1859, Communicating hydrocephalus,31.3
1860, Obstructive hydrocephalus,31.4
1861, Other cerebral degeneration,31.8
1862, Unspecified,31.9
1863,Parkinson's disease,32
1864, Paralysis agitans,32.0
1865, Secondary Parkinsonism,32.1
1866,Other extrapyramidal disease and abnormal movement disorders,33
1867, Other degenerative diseases of the basal ganglia,33.0
1868, Essential and other specified forms of tremor,33.1
1869, Myoclonus,33.2
1870, Tics of organic origin,33.3
1871, Huntington's chorea,33.4
1872, Other choreas,33.5
1873, Idiopathic torsion dystonia,33.6
1874, Symptomatic torsion dystonia,33.7
1875, Fragments of torsion dystonia,33.8
1876, Other and unspecified,33.9
1877,Spinocerebellar disease,34
1878, Friedreich's ataxia,34.0
1879, Hereditary spastic paraplegia,34.1
1880, Primary cerebellar degeneration,34.2
1881, Other cerebellar ataxia,34.3
1882, Other,34.8
1883, Unspecified,34.9
1884,Anterior horn cell disease,35
1885, Werdnig-Hoffmann disease,35.0
1886, Spinal muscular atrophy,35.1
1887, Motor neurone disease,35.2
1888, Other,35.8
1889, Unspecified,35.9
1890,Other diseases of spinal cord,36
1891, Syringomyelia and syringobulbia,36.0
1892, Vascular myelopathies,36.1
1893, Other myelopathy,36.8
1894, Unspecified diseases of spinal cord,36.9
1895,Disorders of the autonomic nervous system,37
1896, Idiopathic peripheral autonomic neuropathy,37.0
1897, Unspecified,37.9
1898,Multiple sclerosis,40
1899,Other demyelinating diseases of central nervous system,41
1900, Neuromyelitis optica,41.0
1901, Schilder's disease,41.1
1902, Other,41.8
1903, Unspecified,41.9
1904,Hemiplegia,42
1905, Flaccid hemiplegia,42.0
1906, Spastic hemiplegia,42.1
1907, Unspecified,42.9
1908,Infantile cerebral palsy,43
1909, Diplegic,43.0
1910, Hemiplegic,43.1
1911, Quadriplegic,43.2
1912, Monoplegic,43.3
1913, Infantile hemiplegia,43.4
1914, Other,43.8
1915, Unspecified,43.9
1916,Other paralytic syndromes,44
1917, Quadriplegia,44.0
1918, Paraplegia,44.1
1919, Diplegia of upper limbs,44.2
1920, Monoplegia of lower limb,44.3
1921, Monoplegia of upper limb,44.4
1922, Unspecified monoplegia,44.5
1923, Cauda equina syndrome,44.6
1924, Other,44.8
1925, Unspecified,44.9
1926,Epilepsy,45
1927, Generalized nonconvulsive epilepsy,45.0
1928, Generalized convulsive epilepsy,45.1
1929, Petit mal status,45.2
1930, Grand mal status,45.3
1931, Partial epilepsy with impairment of consciousness,45.4
1932, Partial epilepsy without mention of impairment of consciousness,45.5
1933, Infantile spasms,45.6
1934, Epilepsia partialis continua,45.7
1935, Other,45.8
1936, Unspecified,45.9
1937,Migraine,46
1938, Classical migraine,46.0
1939, Common migraine,46.1
1940, Variants of migraine,46.2
1941, Other,46.8
1942, Unspecified,46.9
1943,Cataplexy and narcolepsy,47
1944,Other conditions of brain,48
1945, Cerebral cysts,48.0
1946, Anoxic brain damage,48.1
1947, Benign intracranial hypertension,48.2
1948," Encephalopathy, unspecified",48.3
1949, Compression of brain,48.4
1950, Cerebral edema,48.5
1951, Other,48.8
1952, Unspecified,48.9
1953,Other and unspecified disorders of the nervous system,49
1954, Reaction to spinal or lumbar puncture,49.0
1955, Nervous system complications from surgically implanted device,49.1
1956," Disorders of meninges, not elsewhere classified",49.2
1957, Other,49.8
1958, Unspecified,49.9
1959,Trigeminal nerve disorders,50
1960, Other trigeminal neuralgia,50.1
1961, Atypical face pain,50.2
1962, Other,50.8
1963, Unspecified,50.9
1964,Facial nerve disorders,51
1965, Bell's palsy,51.0
1966, Geniculate ganglionitis,51.1
1967, Other,51.8
1968, Unspecified,51.9
1969,Disorders of other cranial nerves,52
1970, Glossopharyngeal neuralgia,52.1
1971, Multiple cranial nerve palsies,52.6
1972, Unspecified,52.9
1973,Nerve root and plexus disorders,53
1974, Brachial plexus lesions,53.0
1975, Lumbosacral plexus lesions,53.1
1976," Cervical root lesions, not elsewhere classified",53.2
1977," Thoracic root lesions, not elsewhere classified",53.3
1978," Lumbosacral root lesions, not elsewhere classified",53.4
1979, Neuralgic amyotrophy,53.5
1980, Phantom limb syndrome,53.6
1981, Other,53.8
1982, Unspecified,53.9
1983,Mononeuritis of upper limb and mononeuritis multiplex,54
1984, Carpal tunnel syndrome,54.0
1985, Other lesion of median nerve,54.1
1986, Lesion of ulnar nerve,54.2
1987, Lesion of radial nerve,54.3
1988, Causalgia,54.4
1989, Mononeuritis multiplex,54.5
1990, Other,54.8
1991, Unspecified,54.9
1992,Mononeuritis of lower limb,55
1993, Lesion of sciatic nerve,55.0
1994, Meralgia paraesthetica,55.1
1995, Lesion of femoral nerve,55.2
1996, Lesion of lateral popliteal nerve,55.3
1997, Lesion of medial popliteal nerve,55.4
1998, Tarsal tunnel syndrome,55.5
1999, Lesion of plantar nerve,55.6
2000, Other,55.7
2001, Unspecified mononeuritis of lower limb,55.8
2002, Mononeuritis of unspecified site,55.9
2003,Hereditary and idiopathic peripheral neuropathy,56
2004, Hereditary peripheral neuropathy,56.0
2005, Peroneal muscular atrophy,56.1
2006, Hereditary sensory neuropathy,56.2
2007, Refsum's disease,56.3
2008, Idiopathic progressive polyneuropathy,56.4
2009, Other,56.8
2010, Unspecified,56.9
2011,Inflammatory and toxic neuropathy,57
2012, Acute infective polyneuritis,57.0
2013, Alcoholic polyneuropathy,57.5
2014, Polyneuropathy due to drugs,57.6
2015, Polyneuropathy due to other toxic agents,57.7
2016, Other,57.8
2017, Unspecified,57.9
2018,Myoneural disorders,58
2019, Myasthenia gravis,58.0
2020, Toxic myoneural disorders,58.2
2021, Other,58.8
2022, Unspecified,58.9
2023,Muscular dystrophies and other myopathies,59
2024, Congenital hereditary muscular dystrophy,59.0
2025, Hereditary progressive muscular dystrophy,59.1
2026, Myotonic disorders,59.2
2027, Familial periodic paralysis,59.3
2028, Toxic myopathy,59.4
2029, Other,59.8
2030, Unspecified,59.9
2031,Disorders of the globe,60
2032, Purulent endophthalmitis,60.0
2033, Other endophthalmitis,60.1
2034, Degenerative disorders of globe,60.2
2035, Hypotony of eye,60.3
2036, Degenerated conditions of globe,60.4
2037," Retained -old intraocular foreign body, magnetic",60.5
2038," Retained -old intraocular foreign body, nonmagnetic",60.6
2039, Other disorders of globe,60.8
2040, Unspecified,60.9
2041,Retinal detachments and defects,61
2042, Retinal detachment with retinal defect,61.0
2043, Retinoschisis and retinal cysts,61.1
2044, Serous retinal detachment,61.2
2045, Retinal defects without detachment,61.3
2046, Other forms of retinal detachment,61.8
2047, Unspecified,61.9
2048,Other retinal disorders,62
2049, Other background retinopathy and retinal vascular changes,62.1
2050, Other proliferative retinopathy,62.2
2051, Retinal vascular occlusion,62.3
2052, Separation of retinal layers,62.4
2053, Degeneration of macula and posterior pole,62.5
2054, Peripheral retinal degenerations,62.6
2055, Hereditary retinal dystrophies,62.7
2056, Other retinal disorders,62.8
2057, Unspecified,62.9
2058,Chorioretinal inflammations and scars and other disorders of choroid,63
2059, Focal chorioretinitis and focal retinochoroiditis,63.0
2060, Disseminated chorioretinitis and disseminated retinochoroiditis,63.1
2061, Other and unspecified forms of chorioretinitis and retinochoroiditis,63.2
2062, Chorioretinal scars,63.3
2063, Choroidal degenerations,63.4
2064, Hereditary choroidal dystrophies,63.5
2065, Choroidal hemorrhage and rupture,63.6
2066, Choroidal detachment,63.7
2067, Other disorders of choroid,63.8
2068, Unspecified,63.9
2069,Disorders of iris and ciliary body,64
2070, Acute and subacute iridocyclitis,64.0
2071, Chronic iridocyclitis,64.1
2072, Certain types of iridocyclitis,64.2
2073, Unspecified iridocyclitis,64.3
2074, Vascular disorders of iris and ciliary body,64.4
2075, Degenerations of iris and ciliary body,64.5
2076," Cysts of iris, ciliary body, and anterior chamber",64.6
2077, Adhesions and disruptions of iris and ciliary body,64.7
2078, Other disorders of iris and ciliary body,64.8
2079, Unspecified,64.9
2080,Glaucoma,65
2081, Borderline glaucoma,65.0
2082, Open-angle glaucoma,65.1
2083, Primary angle-closure glaucoma,65.2
2084, Corticosteroid-induced glaucoma,65.3
2085," Glaucoma associated with congenital anomalies, with dystrophies, and with systemic syndromes",65.4
2086, Glaucoma associated with disorders of the lens,65.5
2087, Glaucoma associated with other ocular disorders,65.6
2088, Other glaucoma,65.8
2089, Unspecified,65.9
2090,Cataract,66
2091," Infantile, juvenile, and presenile cataract",66.0
2092, Senile cataract,66.1
2093, Traumatic cataract,66.2
2094, Cataract secondary to ocular disorders,66.3
2095, Cataract associated with other disorders,66.4
2096, After-cataract,66.5
2097, Other cataract,66.8
2098, Unspecified,66.9
2099,Disorders of refraction and accommodation,67
2100, Hypermetropia,67.0
2101, Myopia,67.1
2102, Astigmatism,67.2
2103, Anisometropia and aniseikonia,67.3
2104, Presbyopia,67.4
2105, Disorders of accommodation,67.5
2106, Other,67.8
2107, Unspecified,67.9
2108,Visual disturbances,68
2109, Amblyopia ex anopsia,68.0
2110, Subjective visual disturbances,68.1
2111, Diplopia,68.2
2112, Other disorders of binocular vision,68.3
2113, Visual field defects,68.4
2114, Color vision deficiencies,68.5
2115, Night blindness,68.6
2116, Other visual disturbances,68.8
2117, Unspecified,68.9
2118,Blindness and low vision,69
2119," Blindness, both eyes",69.0
2120," Blindness, one eye, low vision, other eye",69.1
2121," Low vision, both eyes",69.2
2122," Unqualified visual loss, both eyes",69.3
2123," Blindness, one eye",69.6
2124," Low vision, one eye",69.7
2125," Unqualified visual loss, one eye",69.8
2126, Unspecified visual loss,69.9
2127,Keratitis,70
2128, Corneal ulcer,70.0
2129, Other superficial keratitis without conjunctivitis,70.2
2130, Certain types of keratoconjunctivitis,70.3
2131, Other and unspecified keratoconjunctivitis,70.4
2132, Interstitial and deep keratitis,70.5
2133, Corneal neovascularization,70.6
2134, Other forms of keratitis,70.8
2135, Unspecified,70.9
2136,Corneal opacity and other disorders of cornea,71
2137, Corneal scars and opacities,71.0
2138, Corneal pigmentations and deposits,71.1
2139, Corneal edema,71.2
2140, Changes of corneal membranes,71.3
2141, Corneal degenerations,71.4
2142, Hereditary corneal dystrophies,71.5
2143, Keratoconus,71.6
2144, Other corneal deformities,71.7
2145, Other corneal disorders,71.8
2146, Unspecified,71.9
2147,Disorders of conjunctiva,72
2148, Acute conjunctivitis,72.0
2149, Chronic conjunctivitis,72.1
2150, Blepharoconjunctivitis,72.2
2151, Other and unspecified conjunctivitis,72.3
2152, Pterygium,72.4
2153, Conjunctival degenerations and deposits,72.5
2154, Conjuntival scars,72.6
2155, Conjunctival vascular disorders and cysts,72.7
2156, Other disorders of conjunctiva,72.8
2157, Unspecified,72.9
2158,Inflammation of eyelids,73
2159, Blepharitis,73.0
2160, Hordeolum and other deep inflammation of eyelid,73.1
2161, Chalazion,73.2
2162, Noninfectious dermatoses of eyelid,73.3
2163, Other,73.8
2164, Unspecified,73.9
2165,Other disorders of eyelids,74
2166, Entropion and trichiasis of eyelid,74.0
2167, Ectropion,74.1
2168, Lagophthalmos,74.2
2169, Ptosis of eyelid,74.3
2170, Other disorders affecting eyelid function,74.4
2171, Degenerative disorders of eyelids and periocular area,74.5
2172, Other disorders of eyelid,74.8
2173, Unspecified,74.9
2174,Disorders of lacrimal system,75
2175, Dacryoadenitis,75.0
2176, Other disorders of lacrimal gland,75.1
2177, Epiphora,75.2
2178, Acute and unspecified inflammation of lacrimal passages,75.3
2179, Chronic inflammation of lacrimal passages,75.4
2180, Stenosis and insufficiency of lacrimal passages,75.5
2181, Other changes of lacrimal passages,75.6
2182, Other disorders of lacrimal system,75.8
2183, Unspecified,75.9
2184,Disorders of the orbit,76
2185, Acute inflammation of orbit,76.0
2186, Chronic inflammatory disorders of orbit,76.1
2187, Other exophthalmic conditions,76.3
2188, Deformity of orbit,76.4
2189, Enophthalmos,76.5
2190, Retained -old foreign body following penetrating wound of orbit,76.6
2191, Other disorders of orbit,76.8
2192, Unspecified,76.9
2193,Disorders of optic nerve and visual pathways,77
2194, Papilledema,77.0
2195, Optic atrophy,77.1
2196, Other disorders of optic disc,77.2
2197, Optic neuritis,77.3
2198, Other disorders of optic nerve,77.4
2199, Disorders of optic chiasm,77.5
2200, Disorders of other visual pathways,77.6
2201, Disorders of visual cortex,77.7
2202, Unspecified,77.9
2203,Strabismus and other disorders of binocular eye movements,78
2204, Convergent concomitant strabismus,78.0
2205, Divergent concomitant strabismus,78.1
2206, Intermittent heterotropia,78.2
2207, Other and unspecified heterotropia,78.3
2208, Heterophoria,78.4
2209, Paralytic strabismus,78.5
2210, Mechanical strabismus,78.6
2211, Other strabismus,78.7
2212, Other disorders of binocular eye movements,78.8
2213, Unspecified,78.9
2214,Other disorders of eye,79
2215, Scleritis and episcleritis,79.0
2216, Other disorders of sclera,79.1
2217, Disorders of vitreous body,79.2
2218, Aphakia and other disorders of lens,79.3
2219, Anomalies of pupillary function,79.4
2220, Nystagmus and other irregular eye movements,79.5
2221, Other disorders of eye and adnexa,79.8
2222, Unspecified,79.9
2223,Disorders of external ear,80
2224, Perichondritis of pinna,80.0
2225, Infective otitis externa,80.1
2226, Other otitis externa,80.2
2227, Noninfective disorders of pinna,80.3
2228, Impacted cerumen,80.4
2229, Acquired stenosis of external ear canal,80.5
2230, Other disorders of external ear,80.8
2231, Unspecified,80.9
2232,Nonsuppurative otitis media and Eustachian tube disorders,81
2233, Acute nonsuppurative otitis media,81.0
2234, Chronic serous otitis media,81.1
2235, Chronic mucoid otitis media,81.2
2236, Other and unspecified chronic nonsuppurative otitis media,81.3
2237," Nonsuppurative otitis media, not specified as acute or chronic",81.4
2238, Eustachian salpingitis,81.5
2239, Obstruction of Eustachian tube,81.6
2240, Patulous Eustachian tube,81.7
2241, Other disorders of Eustachian tube,81.8
2242, Unspecified Eustachian tube disorder,81.9
2243,Suppurative and unspecified otitis media,82
2244, Acute suppurative otitis media,82.0
2245, Chronic tubotympanic suppurative otitis media,82.1
2246, Chronic atticoantral suppurative otitis media,82.2
2247, Unspecified chronic suppurative otitis media,82.3
2248, Unspecified suppurative otitis media,82.4
2249, Unspecified otitis media,82.9
2250,Mastoiditis and related conditions,83
2251, Acute mastoiditis,83.0
2252, Chronic mastoiditis,83.1
2253, Petrositis,83.2
2254, Other,83.8
2255, Unspecified mastoiditis,83.9
2256,Other disorders of tympanic membrane,84
2257, Acute myringitis without mention of otitis media,84.0
2258, Chronic myringitis without mention of otitis media,84.1
2259, Perforation of tympanic membrane,84.2
2260, Other,84.8
2261, Unspecified,84.9
2262,Other disorders of middle ear and mastoid,85
2263, Tympanosclerosis,85.0
2264, Adhesive middle ear disease,85.1
2265, Other acquired abnormality of ear ossicles,85.2
2266, Cholesteatoma of middle ear and mastoid,85.3
2267, Other,85.8
2268, Unspecified,85.9
2269,Vertiginous syndromes and other disorders of vestibular system,86
2270, Meniere's disease,86.0
2271, Other and unspecified peripheral vertigo,86.1
2272, Vertigo of central origin,86.2
2273, Labyrinthitis,86.3
2274, Labyrinthine fistula,86.4
2275, Labyrinthine dysfunction,86.5
2276, Other disorders of labyrinth,86.8
2277, Unspecified vertiginous syndromes and labyrinthine disorders,86.9
2278,Otosclerosis,87
2279," Otosclerosis involving oval window, nonobliterative",87.0
2280," Otosclerosis involving oval window, obliterative",87.1
2281, Cochlear otosclerosis,87.2
2282, Other,87.8
2283, Unspecified,87.9
2284,Other disorders of ear,88
2285, Degenerative and vascular disorders of ear,88.0
2286, Noise effects on inner ear,88.1
2287," Sudden hearing loss, unspecified",88.2
2288, Tinnitus,88.3
2289, Other abnormal auditory perception,88.4
2290, Disorders of acoustic nerve,88.5
2291, Otorrhea,88.6
2292, Otalgia,88.7
2293, Other,88.8
2294, Unspecified,88.9
2295,Deafness,89
2296, Conductive deafness,89.0
2297, Sensorineural deafness,89.1
