,diagnosis_code,diagnosis_type
1558,276.0, Hyperosmolality and/or hypernatremia 
1559,276.1, Hyposmolality and/or hyponatremia 
1560,276.2, Acidosis 
1561,276.3, Alkalosis 
1562,276.4, Mixed acid-base balance disorder 
1563,276.5, Volume depletion 
1564,276.6, Fluid overload 
1565,276.7, Hyperpotassemia 
1566,276.8, Hypopotassemia 
1567,276.9," Electrolyte and fluid disorders, not elsewhere classified "
1568,277,Other and unspecified disorders of metabolism 
1569,277.0, Cystic fibrosis 
1570,277.1, Disorders of porphyrin metabolism 
1571,277.2, Other disorders of purine and pyrimidine metabolism 
1572,277.3, Amyloidosis 
1573,277.4, Disorders of bilirubin excretion 
1574,277.5, Mucopolysaccharidosis 
1575,277.6, Other deficiencies of circulating enzymes 
1576,277.8, Other 
1577,277.9, Unspecified 
1578,278,Obesity and other hyperalimentation 
1579,278.0, Obesity 
1580,278.1, Localized adiposity 
1581,278.2, Hypervitaminosis A 
1582,278.3, Hypercarotinemia 
1583,278.4, Hypervitaminosis D 
1584,278.8, Other 
1585,279,Disorders involving the immune mechanism 
1586,279.0, Deficiency of humoral immunity 
1587,279.1, Deficiency of cell-mediated immunity 
1588,279.2, Combined immunity deficiency 
1589,279.3, Unspecified immunity deficiency 
1590,279.4," Autoimmune disease, not elsewhere classified "
1591,279.8, Other 
1592,279.9, Unspecified 
1594,280,Iron deficiency anemias 
1595,281,Other deficiency anemias 
1596,281.0, Pernicious anemia 
1597,281.1, Other vitamin-B12-deficiency anemia 
1598,281.2, Folate-deficiency anemia 
1599,281.3," Other specified megaloblastic anemias, not elsewhere classified "
1600,281.4, Protein-deficiency anemia 
1601,281.8, Anemia associated with other specified nutritional deficiency 
1602,281.9, Unspecified 
1603,282,Hereditary hemolytic anemias 
1604,282.0, Hereditary spherocytosis 
1605,282.1, Hereditary elliptocytosis 
1606,282.2, Anemia due to disorders of glutathione metabolism 
1607,282.3, Other hemolytic anemias due to enzyme deficiency 
1608,282.4, Thalassemias 
1609,282.5, Sickle-cell trait 
1610,282.6, Sickle-cell anemia 
1611,282.7, Other hemoglobinopathies 
1612,282.8, Other 
1613,282.9, Unspecified 
1614,283,Acquired hemolytic anemias 
1615,283.0, Autoimmune hemolytic anemias 
1616,283.1, Non-autoimmune hemolytic anemias 
1617,283.2, Hemoglobinuria due to hemolysis from external causes 
1618,283.9, Unspecified 
1619,284,Aplastic anemia 
1620,284.0, Constitutional aplastic anemia 
1621,284.8, Other 
1622,284.9, Unspecified 
1623,285,Other and unspecified anemias 
1624,285.0, Sideroblastic anemia 
1625,285.1, Acute posthemorrhagic anemia 
1626,285.8, Other specified anemias 
1627,285.9," Anemia, unspecified "
1628,286,Coagulation defects 
1629,286.0, Congenital factor VIII disorder 
1630,286.1, Congenital factor IX disorder 
1631,286.2, Congenital factor XI deficiency 
1632,286.3, Congenital deficiency of other clotting factors 
1633,286.4, von Willebrand's disease 
1634,286.5, Hemorrhagic disorder due to circulating anticoagulants 
1635,286.6, Defibrination syndrome 
1636,286.7, Acquired coagulation factor deficiency 
1637,286.9, Other and unspecified coagulation defects 
1638,287,Purpura and other hemorrhagic conditions 
1639,287.0, Allergic purpura 
1640,287.1, Qualitative platelet defects 
1641,287.2, Other nonthrombocytopenic purpuras 
1642,287.3, Primary thrombocytopenia 
1643,287.4, Secondary thrombocytopenia 
1644,287.5," Thrombocytopenia, unspecified "
1645,287.8, Other specified hemorrhagic conditions 
1646,287.9, Unspecified hemorrhagic conditions 
1647,288,Diseases of white blood cells 
1648,288.0, Agranulocytosis 
1649,288.1, Functional disorders of neutrophil polymorphonuclears 
1650,288.2, Genetic anomalies of leucocytes 
1651,288.3, Eosinophilia 
1652,288.8, Other 
1653,288.9, Unspecified 
1654,289,Other diseases of blood and blood-forming organs 
1655,289.0, Secondary polycythemia 
1656,289.1, Chronic lymphadenitis 
1657,289.2, Nonspecific mesenteric lymphadenitis 
1658,289.3," Lymphadenitis, unspecified, except mesenteric "
1659,289.4, Hypersplenism 
1660,289.5, Other diseases of spleen 
1661,289.6, Familial polycythemia 
1662,289.7, Methemoglobinemia 
1663,289.8, Other 
1664,289.9, Unspecified 
1666,290,Senile and presenile organic psychotic conditions 
1667,290.0," Senile dementia, simple type "
1668,290.1, Presenile dementia 
1669,290.2," Senile dementia, depressed or paranoid type "
1670,290.3, Senile dementia with acute confusional state 
1671,290.4, Arteriosclerotic dementia 
1672,290.8, Other 
1673,290.9, Unspecified 
1674,291,Alcoholic psychoses 
1675,291.0, Delirium tremens 
1676,291.1," Korsakov's psychosis, alcoholic "
1677,291.2, Other alcoholic dementia 
1678,291.3, Other alcoholic hallucinosis 
1679,291.4, Pathological drunkenness 
1680,291.5, Alcoholic jealousy 
1681,291.8, Other 
1682,291.9, Unspecified 
1683,292,Drug psychoses 
1684,292.0, Drug withdrawal syndrome 
1685,292.1, Paranoid and/or hallucinatory states induced by drugs 
1686,292.2, Pathological drug intoxication 
1687,292.8, Other 
1688,292.9, Unspecified 
1689,293,Transient organic psychotic conditions 
1690,293.0, Acute confusional state 
1691,293.1, Subacute confusional state 
1692,293.8, Other 
1693,293.9, Unspecified 
1694,294,Other organic psychotic conditions -chronic 
1695,294.0, Korsakov's psychosis or syndrome -nonalcoholic 
1696,294.8, Other 
1697,294.9, Unspecified 
1699,295,Schizophrenic psychoses 
1700,295.0, Simple type 
1701,295.1, Hebephrenic type 
1702,295.2, Catatonic type 
1703,295.3, Paranoid type 
1704,295.4, Acute schizophrenic episode 
1705,295.5, Latent schizophrenia 
1706,295.6, Residual schizophrenia 
1707,295.7, Schizoaffective type 
1708,295.8, Other 
1709,295.9, Unspecified 
1710,296,Affective psychoses 
1711,296.0," Manic-depressive psychosis, manic type "
1712,296.1," Manic-depressive psychosis, depressed type "
1713,296.2," Manic-depressive psychosis, circular type but currently manic "
1714,296.3," Manic-depressive psychosis, circular type but currently depressed "
1715,296.4," Manic-depressive psychosis, circular type, mixed "
1716,296.5," Manic-depressive psychosis, circular type, current condition not specified "
1717,296.6," Manic-depressive psychosis, other and unspecified "
1718,296.8, Other 
1719,296.9, Unspecified 
1720,297,Paranoid states 
1721,297.0," Paranoid state, simple "
1722,297.1, Paranoia 
1723,297.2, Paraphrenia 
1724,297.3, Induced psychosis 
1725,297.8, Other 
1726,297.9, Unspecified 
1727,298,Other nonorganic psychoses 
1728,298.0, Depressive type 
1729,298.1, Excitative type 
1730,298.2, Reactive confusion 
1731,298.3, Acute paranoid reaction 
1732,298.4, Psychogenic paranoid psychosis 
1733,298.8, Other and unspecified reactive psychosis 
1734,298.9, Unspecified psychosis 
1735,299,Psychoses with origin specific to childhood 
1736,299.0, Infantile autism 
1737,299.1, Disintegrative psychosis 
1738,299.8, Other 
1739,299.9, Unspecified 
1740,616," Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
1741,300,Neurotic disorders 
1742,300.0, Anxiety states 
1743,300.1, Hysteria 
1744,300.2, Phobic state 
1745,300.3, Obsessive-compulsive disorders 
1746,300.4, Neurotic depression 
1747,300.5, Neurasthenia 
1748,300.6, Depersonalization syndrome 
1749,300.7, Hypochondriasis 
1750,300.8, Other neurotic disorders 
1751,300.9, Unspecified 
1752,301,Personality disorders 
1753,301.0, Paranoid personality disorder 
1754,301.1, Affective personality disorder 
1755,301.2, Schizoid personality disorder 
1756,301.3, Explosive personality disorder 
1757,301.4, Anankastic personality disorder 
1758,301.5, Hysterical personality disorder 
1759,301.6, Asthenic personality disorder 
1760,301.7, Personality disorder with predominantly sociopathic or asocial manifestation 
1761,301.8, Other personality disorders 
1762,301.9, Unspecified 
1763,302,Sexual deviations and disorders 
1764,302.0, Homosexuality 
1765,302.1, Bestiality 
1766,302.2, Pedophilia 
1767,302.3, Transvestism 
1768,302.4, Exhibitionism 
1769,302.5, Trans-sexualism 
1770,302.6, Disorders of psychosexual identity 
1771,302.7, Frigidity and impotence 
1772,302.8, Other 
1773,302.9, Unspecified 
1774,303,Alcohol dependence syndrome 
1775,304,Drug dependence 
1776,304.0, Morphine type 
1777,304.1, Barbiturate type 
1778,304.2, Cocaine 
1779,304.3, Cannabis 
1780,304.4, Amphetamine type and other psychostimulants 
1781,304.5, Hallucinogens 
1782,304.6, Other 
1783,304.7, Combinations of morphine type drug with any other 
1784,304.8, Combinations excluding morphine type drug 
1785,304.9, Unspecified 
1786,305,Nondependent abuse of drugs 
1787,305.0, Alcohol 
1788,305.1, Tobacco 
1789,305.2, Cannabis 
1790,305.3, Hallucinogens 
1791,305.4, Barbiturates and tranquillizers 
1792,305.5, Morphine type 
1793,305.6, Cocaine type 
1794,305.7, Amphetamine type 
1795,305.8, Antidepressants 
1796,305.9," Other, mixed or unspecified "
1797,306,Physiological malfunction arising from mental factors 
1798,306.0, Musculoskeletal 
1799,306.1, Respiratory 
1800,306.2, Cardiovascular 
1801,306.3, Skin 
1802,306.4, Gastrointestinal 
1803,306.5, Genitourinary 
1804,306.6, Endocrine 
1805,306.7, Organs of special sense 
1806,306.8, Other 
1807,306.9, Unspecified 
1808,307,Special symptoms or syndromes not elsewhere classified 
1809,307.0, Stammering and stuttering 
1810,307.1, Anorexia nervosa 
1811,307.2, Tics 
1812,307.3, Stereotyped repetitive movements 
1813,307.4, Specific disorders of sleep 
1814,307.5, Other and unspecified disorders of eating 
1815,307.6, Enuresis 
1816,307.7, Encopresis 
1817,307.8, Psychalgia 
1818,307.9, Other and unspecified 
1819,308,Acute reaction to stress 
1820,308.0, Predominant disturbance of emotions 
1821,308.1, Predominant disturbance of consciousness 
1822,308.2, Predominant psychomotor disturbance 
1823,308.3, Other 
1824,308.4, Mixed 
1825,308.9, Unspecified 
1826,309,Adjustment reaction 
1827,309.0, Brief depressive reaction 
1828,309.1, Prolonged depressive reaction 
1829,309.2, With predominant disturbance of other emotions 
1830,309.3, With predominant disturbance of conduct 
1831,309.4, With mixed disturbance of emotions and conduct 
1832,309.8, Other 
1833,309.9, Unspecified 
1834,310,Specific nonpsychotic mental disorders following organic brain damage 
1835,310.0, Frontal lobe syndrome 
1836,310.1, Cognitive or personality change of other type 
1837,310.2, Postconcussional syndrome 
1838,310.8, Other 
1839,310.9, Unspecified 
1840,311,"Depressive disorder, not elsewhere classified "
1841,312,Disturbance of conduct not elsewhere classified 
1842,312.0, Unsocialized disturbance of conduct 
1843,312.1, Socialized disturbance of conduct 
1844,312.2, Compulsive conduct disorder 
1845,312.3, Mixed disturbance of conduct and emotions 
1846,312.8, Other 
1847,312.9, Unspecified 
1848,313,Disturbance of emotions specific to childhood and adolescence 
1849,313.0, With anxiety and fearfulness 
1850,313.1, With misery and unhappiness 
1851,313.2," With sensitivity, shyness, and social withdrawal "
1852,313.3, Relationship problems 
1853,313.8, Other or mixed 
1854,313.9, Unspecified 
1855,314,Hyperkinetic syndrome of childhood 
1856,314.0, Simple disturbance of activity and attention 
1857,314.1, Hyperkinesis with developmental delay 
1858,314.2, Hyperkinetic conduct disorder 
1859,314.8, Other 
1860,314.9, Unspecified 
1861,315,Specific delays in development 
1862,315.0, Specific reading retardation 
1863,315.1, Specific arithmetical retardation 
1864,315.2, Other specific learning difficulties 
1865,315.3, Developmental speech or language disorder 
1866,315.4, Specific motor retardation 
1867,315.5, Mixed development disorder 
1868,315.8, Other 
1869,315.9, Unspecified 
1870,316,Psychic factors associated with diseases classified elsewhere 
1872,317,Mild mental retardation 
1873,318,Other specified mental retardation 
1874,318.0, Moderate mental retardation 
1875,318.1, Severe mental retardation 
1876,318.2, Profound mental retardation 
1877,319,Unspecified mental retardation 
1879,320,Bacterial meningitis 
1880,320.0, Hemophilus meningitis 
1881,320.1, Pneumococcal meningitis 
1882,320.2, Streptococcal meningitis 
1883,320.3, Staphylococcal meningitis 
1884,320.8, Meningitis due to other specified bacteria 
1885,320.9, Meningitis due to unspecified bacterium 
1886,322,Meningitis of unspecified cause 
1887,322.0, Nonpyogenic meningitis 
1888,322.1, Eosinophilic meningitis 
1889,322.2, Chronic meningitis 
1890,322.9," Meningitis, unspecified "
1891,323,"Encephalitis, myelitis, and encephalomyelitis "
1892,323.5, Encephalitis following immunization procedures 
1893,323.8, Other 
1894,323.9, Unspecified cause 
1895,324,Intracranial and intraspinal abscess 
1896,324.0, Intracranial abscess 
1897,324.1, Intraspinal abscess 
1898,324.9, Of unspecified site 
1899,325,Phlebitis and thrombophlebitis of intracranial venous sinuses 
1900,326,Late effects of intracranial abscess or pyogenic infection 
1902,330,Cerebral degenerations usually manifest in childhood 
1903,330.0, Leucodystrophy 
1904,330.1, Cerebral lipidoses 
1905,330.8, Other cerebral degenerations in childhood 
1906,330.9, Unspecified 
1907,331,Other cerebral degenerations 
1908,331.0, Alzheimer's disease 
1909,331.1, Pick's disease 
1910,331.2, Senile degeneration of brain 
1911,331.3, Communicating hydrocephalus 
1912,331.4, Obstructive hydrocephalus 
1913,331.8, Other cerebral degeneration 
1914,331.9, Unspecified 
1915,332,Parkinson's disease 
1916,332.0, Paralysis agitans 
1917,332.1, Secondary Parkinsonism 
1918,333,Other extrapyramidal disease and abnormal movement disorders 
1919,333.0, Other degenerative diseases of the basal ganglia 
1920,333.1, Essential and other specified forms of tremor 
1921,333.2, Myoclonus 
1922,333.3, Tics of organic origin 
1923,333.4, Huntington's chorea 
1924,333.5, Other choreas 
1925,333.6, Idiopathic torsion dystonia 
1926,333.7, Symptomatic torsion dystonia 
1927,333.8, Fragments of torsion dystonia 
1928,333.9, Other and unspecified 
1929,334,Spinocerebellar disease 
1930,334.0, Friedreich's ataxia 
1931,334.1, Hereditary spastic paraplegia 
1932,334.2, Primary cerebellar degeneration 
1933,334.3, Other cerebellar ataxia 
1934,334.8, Other 
1935,334.9, Unspecified 
1936,335,Anterior horn cell disease 
1937,335.0, Werdnig-Hoffmann disease 
1938,335.1, Spinal muscular atrophy 
1939,335.2, Motor neurone disease 
1940,335.8, Other 
1941,335.9, Unspecified 
1942,336,Other diseases of spinal cord 
1943,336.0, Syringomyelia and syringobulbia 
1944,336.1, Vascular myelopathies 
1945,336.8, Other myelopathy 
1946,336.9, Unspecified diseases of spinal cord 
1947,337,Disorders of the autonomic nervous system 
1948,337.0, Idiopathic peripheral autonomic neuropathy 
1949,337.9, Unspecified 
1951,340,Multiple sclerosis 
1952,341,Other demyelinating diseases of central nervous system 
1953,341.0, Neuromyelitis optica 
1954,341.1, Schilder's disease 
1955,341.8, Other 
1956,341.9, Unspecified 
1957,342,Hemiplegia 
1958,342.0, Flaccid hemiplegia 
1959,342.1, Spastic hemiplegia 
1960,342.9, Unspecified 
1961,343,Infantile cerebral palsy 
1962,343.0, Diplegic 
1963,343.1, Hemiplegic 
1964,343.2, Quadriplegic 
1965,343.3, Monoplegic 
1966,343.4, Infantile hemiplegia 
1967,343.8, Other 
1968,343.9, Unspecified 
1969,344,Other paralytic syndromes 
1970,344.0, Quadriplegia 
1971,344.1, Paraplegia 
1972,344.2, Diplegia of upper limbs 
1973,344.3, Monoplegia of lower limb 
1974,344.4, Monoplegia of upper limb 
1975,344.5, Unspecified monoplegia 
1976,344.6, Cauda equina syndrome 
1977,344.8, Other 
1978,344.9, Unspecified 
1979,345,Epilepsy 
1980,345.0, Generalized nonconvulsive epilepsy 
1981,345.1, Generalized convulsive epilepsy 
1982,345.2, Petit mal status 
1983,345.3, Grand mal status 
1984,345.4, Partial epilepsy with impairment of consciousness 
1985,345.5, Partial epilepsy without mention of impairment of consciousness 
1986,345.6, Infantile spasms 
1987,345.7, Epilepsia partialis continua 
1988,345.8, Other 
1989,345.9, Unspecified 
1990,346,Migraine 
1991,346.0, Classical migraine 
1992,346.1, Common migraine 
1993,346.2, Variants of migraine 
1994,346.8, Other 
1995,346.9, Unspecified 
1996,347,Cataplexy and narcolepsy 
1997,348,Other conditions of brain 
1998,348.0, Cerebral cysts 
1999,348.1, Anoxic brain damage 
2000,348.2, Benign intracranial hypertension 
2001,348.3," Encephalopathy, unspecified "
2002,348.4, Compression of brain 
2003,348.5, Cerebral edema 
2004,348.8, Other 
2005,348.9, Unspecified 
2006,349,Other and unspecified disorders of the nervous system 
2007,349.0, Reaction to spinal or lumbar puncture 
2008,349.1, Nervous system complications from surgically implanted device 
2009,349.2," Disorders of meninges, not elsewhere classified "
2010,349.8, Other 
2011,349.9, Unspecified 
2013,350,Trigeminal nerve disorders 
2014,350.1, Other trigeminal neuralgia 
2015,350.2, Atypical face pain 
2016,350.8, Other 
2017,350.9, Unspecified 
2018,351,Facial nerve disorders 
2019,351.0, Bell's palsy 
2020,351.1, Geniculate ganglionitis 
2021,351.8, Other 
2022,351.9, Unspecified 
2023,352,Disorders of other cranial nerves 
2025,352.1, Glossopharyngeal neuralgia 
2030,352.6, Multiple cranial nerve palsies 
2031,352.9, Unspecified 
2032,353,Nerve root and plexus disorders 
2033,353.0, Brachial plexus lesions 
2034,353.1, Lumbosacral plexus lesions 
2035,353.2," Cervical root lesions, not elsewhere classified "
2036,353.3," Thoracic root lesions, not elsewhere classified "
2037,353.4," Lumbosacral root lesions, not elsewhere classified "
2038,353.5, Neuralgic amyotrophy 
2039,353.6, Phantom limb syndrome 
2040,353.8, Other 
2041,353.9, Unspecified 
2042,354,Mononeuritis of upper limb and mononeuritis multiplex 
2043,354.0, Carpal tunnel syndrome 
2044,354.1, Other lesion of median nerve 
2045,354.2, Lesion of ulnar nerve 
2046,354.3, Lesion of radial nerve 
2047,354.4, Causalgia 
2048,354.5, Mononeuritis multiplex 
2049,354.8, Other 
2050,354.9, Unspecified 
2051,355,Mononeuritis of lower limb 
2052,355.0, Lesion of sciatic nerve 
2053,355.1, Meralgia paraesthetica 
2054,355.2, Lesion of femoral nerve 
2055,355.3, Lesion of lateral popliteal nerve 
2056,355.4, Lesion of medial popliteal nerve 
2057,355.5, Tarsal tunnel syndrome 
2058,355.6, Lesion of plantar nerve 
2059,355.7, Other 
2060,355.8, Unspecified mononeuritis of lower limb 
2061,355.9, Mononeuritis of unspecified site 
2062,356,Hereditary and idiopathic peripheral neuropathy 
2063,356.0, Hereditary peripheral neuropathy 
2064,356.1, Peroneal muscular atrophy 
2065,356.2, Hereditary sensory neuropathy 
2066,356.3, Refsum's disease 
2067,356.4, Idiopathic progressive polyneuropathy 
2068,356.8, Other 
2069,356.9, Unspecified 
2070,357,Inflammatory and toxic neuropathy 
2071,357.0, Acute infective polyneuritis 
2072,357.5, Alcoholic polyneuropathy 
2073,357.6, Polyneuropathy due to drugs 
2074,357.7, Polyneuropathy due to other toxic agents 
2075,357.8, Other 
2076,357.9, Unspecified 
2077,358,Myoneural disorders 
2078,358.0, Myasthenia gravis 
2079,358.2, Toxic myoneural disorders 
2080,358.8, Other 
2081,358.9, Unspecified 
2082,359,Muscular dystrophies and other myopathies 
2083,359.0, Congenital hereditary muscular dystrophy 
2084,359.1, Hereditary progressive muscular dystrophy 
2085,359.2, Myotonic disorders 
2086,359.3, Familial periodic paralysis 
2087,359.4, Toxic myopathy 
2088,359.8, Other 
2089,359.9, Unspecified 
2091,360,Disorders of the globe 
2092,360.0, Purulent endophthalmitis 
2093,360.1, Other endophthalmitis 
2094,360.2, Degenerative disorders of globe 
2095,360.3, Hypotony of eye 
2096,360.4, Degenerated conditions of globe 
2097,360.5," Retained -old intraocular foreign body, magnetic "
2098,360.6," Retained -old intraocular foreign body, nonmagnetic "
2099,360.8, Other disorders of globe 
2100,360.9, Unspecified 
2101,361,Retinal detachments and defects 
2102,361.0, Retinal detachment with retinal defect 
2103,361.1, Retinoschisis and retinal cysts 
2104,361.2, Serous retinal detachment 
2105,361.3, Retinal defects without detachment 
2106,361.8, Other forms of retinal detachment 
2107,361.9, Unspecified 
2108,362,Other retinal disorders 
2109,362.1, Other background retinopathy and retinal vascular changes 
2110,362.2, Other proliferative retinopathy 
2111,362.3, Retinal vascular occlusion 
2112,362.4, Separation of retinal layers 
2113,362.5, Degeneration of macula and posterior pole 
2114,362.6, Peripheral retinal degenerations 
2115,362.7, Hereditary retinal dystrophies 
2116,362.8, Other retinal disorders 
2117,362.9, Unspecified 
2118,363,Chorioretinal inflammations and scars and other disorders of choroid 
2119,363.0, Focal chorioretinitis and focal retinochoroiditis 
2120,363.1, Disseminated chorioretinitis and disseminated retinochoroiditis 
2121,363.2, Other and unspecified forms of chorioretinitis and retinochoroiditis 
2122,363.3, Chorioretinal scars 
2123,363.4, Choroidal degenerations 
2124,363.5, Hereditary choroidal dystrophies 
2125,363.6, Choroidal hemorrhage and rupture 
2126,363.7, Choroidal detachment 
2127,363.8, Other disorders of choroid 
2128,363.9, Unspecified 
2129,364,Disorders of iris and ciliary body 
2130,364.0, Acute and subacute iridocyclitis 
2131,364.1, Chronic iridocyclitis 
2132,364.2, Certain types of iridocyclitis 
2133,364.3, Unspecified iridocyclitis 
2134,364.4, Vascular disorders of iris and ciliary body 
2135,364.5, Degenerations of iris and ciliary body 
2136,364.6," Cysts of iris, ciliary body, and anterior chamber "
2137,364.7, Adhesions and disruptions of iris and ciliary body 
2138,364.8, Other disorders of iris and ciliary body 
2139,364.9, Unspecified 
2140,365,Glaucoma 
2141,365.0, Borderline glaucoma 
2142,365.1, Open-angle glaucoma 
2143,365.2, Primary angle-closure glaucoma 
2144,365.3, Corticosteroid-induced glaucoma 
2145,365.4," Glaucoma associated with congenital anomalies, with dystrophies, and with systemic syndromes "
2146,365.5, Glaucoma associated with disorders of the lens 
2147,365.6, Glaucoma associated with other ocular disorders 
2148,365.8, Other glaucoma 
2149,365.9, Unspecified 
2150,366,Cataract 
2151,366.0," Infantile, juvenile, and presenile cataract "
2152,366.1, Senile cataract 
2153,366.2, Traumatic cataract 
2154,366.3, Cataract secondary to ocular disorders 
2155,366.4, Cataract associated with other disorders 
2156,366.5, After-cataract 
2157,366.8, Other cataract 
2158,366.9, Unspecified 
2159,367,Disorders of refraction and accommodation 
2160,367.0, Hypermetropia 
2161,367.1, Myopia 
2162,367.2, Astigmatism 
2163,367.3, Anisometropia and aniseikonia 
2164,367.4, Presbyopia 
2165,367.5, Disorders of accommodation 
2166,367.8, Other 
2167,367.9, Unspecified 
2168,368,Visual disturbances 
2169,368.0, Amblyopia ex anopsia 
2170,368.1, Subjective visual disturbances 
2171,368.2, Diplopia 
2172,368.3, Other disorders of binocular vision 
2173,368.4, Visual field defects 
2174,368.5, Color vision deficiencies 
2175,368.6, Night blindness 
2176,368.8, Other visual disturbances 
2177,368.9, Unspecified 
2178,369,Blindness and low vision 
2179,369.0," Blindness, both eyes "
2180,369.1," Blindness, one eye, low vision, other eye "
2181,369.2," Low vision, both eyes "
2182,369.3," Unqualified visual loss, both eyes "
2183,369.6," Blindness, one eye "
2184,369.7," Low vision, one eye "
2185,369.8," Unqualified visual loss, one eye "
2186,369.9, Unspecified visual loss 
2187,370,Keratitis 
2188,370.0, Corneal ulcer 
2189,370.2, Other superficial keratitis without conjunctivitis 
2190,370.3, Certain types of keratoconjunctivitis 
2191,370.4, Other and unspecified keratoconjunctivitis 
2192,370.5, Interstitial and deep keratitis 
2193,370.6, Corneal neovascularization 
2194,370.8, Other forms of keratitis 
2195,370.9, Unspecified 
2196,371,Corneal opacity and other disorders of cornea 
2197,371.0, Corneal scars and opacities 
2198,371.1, Corneal pigmentations and deposits 
2199,371.2, Corneal edema 
2200,371.3, Changes of corneal membranes 
2201,371.4, Corneal degenerations 
2202,371.5, Hereditary corneal dystrophies 
2203,371.6, Keratoconus 
2204,371.7, Other corneal deformities 
2205,371.8, Other corneal disorders 
2206,371.9, Unspecified 
2207,372,Disorders of conjunctiva 
2208,372.0, Acute conjunctivitis 
2209,372.1, Chronic conjunctivitis 
2210,372.2, Blepharoconjunctivitis 
2211,372.3, Other and unspecified conjunctivitis 
2212,372.4, Pterygium 
2213,372.5, Conjunctival degenerations and deposits 
2214,372.6, Conjuntival scars 
2215,372.7, Conjunctival vascular disorders and cysts 
2216,372.8, Other disorders of conjunctiva 
2217,372.9, Unspecified 
2218,373,Inflammation of eyelids 
2219,373.0, Blepharitis 
2220,373.1, Hordeolum and other deep inflammation of eyelid 
2221,373.2, Chalazion 
2222,373.3, Noninfectious dermatoses of eyelid 
2223,373.8, Other 
2224,373.9, Unspecified 
2225,374,Other disorders of eyelids 
2226,374.0, Entropion and trichiasis of eyelid 
2227,374.1, Ectropion 
2228,374.2, Lagophthalmos 
2229,374.3, Ptosis of eyelid 
2230,374.4, Other disorders affecting eyelid function 
2231,374.5, Degenerative disorders of eyelids and periocular area 
2232,374.8, Other disorders of eyelid 
2233,374.9, Unspecified 
2234,375,Disorders of lacrimal system 
2235,375.0, Dacryoadenitis 
2236,375.1, Other disorders of lacrimal gland 
2237,375.2, Epiphora 
2238,375.3, Acute and unspecified inflammation of lacrimal passages 
2239,375.4, Chronic inflammation of lacrimal passages 
2240,375.5, Stenosis and insufficiency of lacrimal passages 
2241,375.6, Other changes of lacrimal passages 
2242,375.8, Other disorders of lacrimal system 
2243,375.9, Unspecified 
2244,376,Disorders of the orbit 
2245,376.0, Acute inflammation of orbit 
2246,376.1, Chronic inflammatory disorders of orbit 
2247,376.3, Other exophthalmic conditions 
2248,376.4, Deformity of orbit 
2249,376.5, Enophthalmos 
2250,376.6, Retained -old foreign body following penetrating wound of orbit 
2251,376.8, Other disorders of orbit 
2252,376.9, Unspecified 
2253,377,Disorders of optic nerve and visual pathways 
2254,377.0, Papilledema 
2255,377.1, Optic atrophy 
2256,377.2, Other disorders of optic disc 
2257,377.3, Optic neuritis 
2258,377.4, Other disorders of optic nerve 
2259,377.5, Disorders of optic chiasm 
2260,377.6, Disorders of other visual pathways 
2261,377.7, Disorders of visual cortex 
2262,377.9, Unspecified 
2263,378,Strabismus and other disorders of binocular eye movements 
2264,378.0, Convergent concomitant strabismus 
2265,378.1, Divergent concomitant strabismus 
2266,378.2, Intermittent heterotropia 
2267,378.3, Other and unspecified heterotropia 
2268,378.4, Heterophoria 
2269,378.5, Paralytic strabismus 
2270,378.6, Mechanical strabismus 
2271,378.7, Other strabismus 
2272,378.8, Other disorders of binocular eye movements 
2273,378.9, Unspecified 
2274,379,Other disorders of eye 
2275,379.0, Scleritis and episcleritis 
2276,379.1, Other disorders of sclera 
2277,379.2, Disorders of vitreous body 
2278,379.3, Aphakia and other disorders of lens 
2279,379.4, Anomalies of pupillary function 
2280,379.5, Nystagmus and other irregular eye movements 
2281,379.8, Other disorders of eye and adnexa 
2282,379.9, Unspecified 
2284,380,Disorders of external ear 
2285,380.0, Perichondritis of pinna 
2286,380.1, Infective otitis externa 
2287,380.2, Other otitis externa 
2288,380.3, Noninfective disorders of pinna 
2289,380.4, Impacted cerumen 
2290,380.5, Acquired stenosis of external ear canal 
2291,380.8, Other disorders of external ear 
2292,380.9, Unspecified 
2293,381,Nonsuppurative otitis media and Eustachian tube disorders 
2294,381.0, Acute nonsuppurative otitis media 
2295,381.1, Chronic serous otitis media 
2296,381.2, Chronic mucoid otitis media 
2297,381.3, Other and unspecified chronic nonsuppurative otitis media 
2298,381.4," Nonsuppurative otitis media, not specified as acute or chronic "
2299,381.5, Eustachian salpingitis 
2300,381.6, Obstruction of Eustachian tube 
2301,381.7, Patulous Eustachian tube 
2302,381.8, Other disorders of Eustachian tube 
2303,381.9, Unspecified Eustachian tube disorder 
2304,382,Suppurative and unspecified otitis media 
2305,382.0, Acute suppurative otitis media 
2306,382.1, Chronic tubotympanic suppurative otitis media 
2307,382.2, Chronic atticoantral suppurative otitis media 
2308,382.3, Unspecified chronic suppurative otitis media 
2309,382.4, Unspecified suppurative otitis media 
2310,382.9, Unspecified otitis media 
2311,383,Mastoiditis and related conditions 
2312,383.0, Acute mastoiditis 
2313,383.1, Chronic mastoiditis 
2314,383.2, Petrositis 
2315,383.8, Other 
2316,383.9, Unspecified mastoiditis 
2317,384,Other disorders of tympanic membrane 
